28.689519,77.324495
28.689431,77.324347
28.689316,77.324165
28.689285,77.324062
28.689218,77.323948
28.689343,77.323858
28.689431,77.323807
28.689567,77.323717
28.689672,77.323629
28.689617,77.323473
28.689572,77.323362
28.689498,77.323242
28.689436,77.323131
28.689390,77.323028
28.689329,77.322900
28.689219,77.322946
28.689081,77.323049
28.688973,77.323116
28.688872,77.323185
28.688764,77.323265
28.688674,77.323324
28.688590,77.323375
28.688505,77.323431
28.688419,77.323490
28.688317,77.323556
28.688229,77.323627
28.688152,77.323677
28.688047,77.323755
28.687916,77.323834
28.687790,77.323918
28.687654,77.324018
28.687553,77.324085
28.687463,77.324145
28.687371,77.324209
28.687243,77.324305
28.687143,77.324372
28.686996,77.324480
28.687841,77.324579
28.687704,77.324372
28.686996,77.324480
28.686841,77.325579
28.686704,77.325668
28.686386,77.325878
28.686086,77.325074
28.685742,77.326305
28.685295,77.326608
28.684968,77.326847
28.684542,77.326147
28.684288,77.326316
28.683980,77.326515
28.683756,77.326094
28.683573,77.325780
28.683389,77.325402
28.683166,77.324983
28.683034,77.324715
28.682841,77.324339
28.682620,77.323908
28.682528,77.323755
28.682778,77.323537
28.683076,77.323336
28.683322,77.323167
28.683159,77.322794
28.682938,77.322384
28.682797,77.322097
28.682573,77.321689
28.682378,77.321260
28.682189,77.320946
28.682069,77.320732
28.681836,77.320898
28.681570,77.321062
28.681220,77.321305
28.681422,77.321684
28.681589,77.321818
